"CO2","volcanic","solar"
277.45,0.00431373748496018,1365.55179592715
277.14,0.00431238599332017,1365.54419343126
277.16,0.00431193221388095,1365.53776232477
277.16,0.0107169284906112,1365.53240653768
277.16,0.00911434529961605,1365.52803
277.17,0.00602049626874456,1365.52452107378
277.17,0.00488686306426365,1365.52170584932
277.17,0.00450454192337073,1365.51939484899
277.18,0.00437640868233501,1365.51739859513
277.18,0.0043334275634595,1365.5155276101
277.18,0.00431899888128548,1365.51359241626
277.19,0.00431415362450342,1365.51140353598
277.2,0.00431252612933914,1365.5087714916
277.2,0.00431197941494698,1365.50550680549
277.2,0.00431179587427282,1365.50142
277.21,0.00431173400937362,1365.49639943719
277.22,0.00431171336821022,1365.49064483793
277.22,0.00431170638170574,1365.4844337628
277.23,0.00431170400435511,1365.47804377234
277.23,0.00431170294452914,1365.47175242715
277.23,0.00431170269272685,1365.46583728779
277.23,0.00431170269272685,1365.46057591482
277.24,0.00431170269272685,1365.45624586882
277.25,0.00431170269272685,1365.45312471036
277.25,0.00431170269272685,1365.45149
277.26,0.00431170269272685,1365.45156025745
277.26,0.00431170269272685,1365.45331783894
277.28,0.00431170269272685,1365.45668605983
277.28,0.00431170269272685,1365.4615882355
277.28,0.00431170269272685,1365.46794768129
277.28,0.013004406010598,1365.47568771258
277.29,0.0108295394379108,1365.48473164473
277.29,0.00663076742783135,1365.49500279311
277.29,0.00509227307646688,1365.50642447308
277.3,0.00457341132246663,1365.51892
277.3,0.00439951762990038,1365.53235305301
277.31,0.00434118695207437,1365.54634876631
277.31,0.00432160500880285,1365.56047263787
277.32,0.00431502910384322,1365.57429016567
277.32,0.00431282014450156,1365.58736684769
277.33,0.00431207807991802,1365.59926818189
277.33,0.00431182873389672,1365.60955966625
277.33,0.00431174515826133,1365.61780679873
277.34,0.0043117169600432,1365.62357507733
277.34,0.0043117076478379,1365.62643
277.34,0.00431170445893449,1365.62607829052
277.35,0.0043117032577216,1365.62279157583
277.35,0.0043117027513287,1365.61698270868
277.35,0.00431170269272685,1365.60906454181
277.36,0.00431170269272685,1365.59944992795
277.36,0.00431170269272685,1365.58855171987
277.36,0.00431170269272685,1365.57678277028
277.37,0.00431170269272685,1365.56455593195
277.37,0.00431170269272685,1365.55228405761
277.38,0.00431170269272685,1365.54038
277.38,0.00431170269272685,1365.52917206492
277.39,0.00431170269272685,1365.51865037037
277.39,0.0170305013509041,1365.50872048741
277.39,0.0138483278398819,1365.4992879871
277.4,0.00770486003880672,1365.49025844049
277.4,0.00545380016445689,1365.48153741865
277.4,0.00469462387657139,1365.47303049262
277.41,0.00444018941242788,1365.46464323346
277.41,0.00435484236448856,1365.45628121224
277.42,0.00432619124617366,1365.44785
277.42,0.00431656941816271,1365.4392727598
277.43,0.00431333761928621,1365.43054302269
277.43,0.0043122519998236,1365.42167191167
277.43,0.00431188717992173,1365.41267054979
277.44,0.00431176468288226,1365.40355006007
277.44,0.00431172349547128,1365.39432156555
277.44,0.00431170979656684,1365.38499618925
277.44,0.00431170502227449,1365.37558505421
277.45,0.00431170352941457,1365.36609928345
277.45,0.00431170277748178,1365.35655
277.46,0.00431170269272685,1365.34699252586
277.46,0.00431170269272685,1365.33765897889
277.46,0.00431170269272685,1365.32882567591
277.46,0.00431170269272685,1365.32076893374
277.47,0.00431170269272685,1365.31376506921
277.48,0.00431170269272685,1365.30809039915
277.48,0.00431170269272685,1365.30402124037
277.49,0.00431170269272685,1365.30183390971
277.49,0.00431170269272685,1365.30180472397
277.5,0.00431170269272685,1365.30421
277.51,0.00431170269272685,1365.30924977675
277.51,0.129728367614531,1365.31681898176
277.52,0.084576430556878,1365.3267362647
277.52,0.0333811912565376,1365.33882027524
277.53,0.0142225435801926,1365.35288966307
277.54,0.00765407869433637,1365.36876307785
277.54,0.00543590521226552,1365.38625916926
277.55,0.00468951389389341,1365.40519658697
277.56,0.00443863672268694,1365.42539398066
277.57,0.007099408510519,1365.44667
277.57,0.00638429114636895,1365.46880659714
277.58,0.00504885075234249,1365.49143893408
277.58,0.00455981509933297,1365.5141654753
277.6,0.00439489106138184,1365.53658468529
277.61,0.00433961645391495,1365.55829502851
277.62,0.00432107501698112,1365.57889496946
277.62,0.00971347602912753,1365.5979829726
277.63,0.00836067987650577,1365.61515750242
277.63,0.00575231965884593,1365.63001702339
277.64,0.00479659755453628,1365.64216
277.65,0.00447427808650772,1365.65125549471
277.64,0.00436625405451595,1365.65725496194
277.65,0.00433001870228725,1365.6601804541
277.66,0.00431785436236544,1365.66005402361
277.66,0.00431376869163019,1365.65689772288
277.66,0.00431239667746232,1365.65073360432
277.67,0.00431193579035211,1365.64158372034
277.68,0.00431178092199462,1365.62947012335
277.69,0.043898793617827,1365.61441486577
277.7,0.0296346695477668,1365.59644
277.71,0.0134829280135279,1365.57564318404
277.72,0.00743850637133538,1365.55242449818
277.72,0.00536620067843927,1365.5272596283
277.72,0.00466638128991886,1365.50062426027
277.73,0.00443089993165637,1365.47299407997
277.73,0.0217371559317331,1365.44484477327
277.74,0.0173608287896069,1365.41665202605
277.74,0.00895434926475104,1365.38889152418
277.75,0.0286583949797587,1365.36203895354
277.75,0.021919219770772,1365.33657
277.76,0.0105658901493909,1365.31290178914
277.76,0.00641664297426769,1365.29121720535
277.77,0.00501747847255908,1365.27164057271
277.77,0.00454852780756264,1365.25429621531
277.77,0.00439121845678421,1365.23930845725
277.77,0.00433840784057818,1365.22680162261
277.78,0.00432067247463218,1365.21690003547
277.79,0.00431471573599413,1365.20972801993
277.79,0.00431271483296393,1365.20540990008
277.79,0.00431204273778898,1365.20407
277.8,0.00431181701271165,1365.2057677394
277.81,0.0043117410078623,1365.21030292043
277.81,0.00431171577725506,1365.21741044086
277.82,0.00431170741063556,1365.22682519847
277.83,0.00431170430259297,1365.23828209103
277.83,0.00431170311684651,1365.25151601631
277.84,0.00431170269272685,1365.26626187207
277.85,0.014559940961549,1365.28225455609
277.86,0.0119958864037341,1365.29922896615
277.86,0.00704575573480851,1365.31692
277.87,0.0052319539788268,1365.33507273327
277.88,0.00462024370098264,1365.35347295294
277.88,0.00441523194615913,1365.37191662384
277.89,0.00434646264436529,1365.39019971079
277.9,0.00706844048293243,1365.40811817862
277.91,0.00637388786826875,1365.42546799217
277.92,0.00504535583835576,1365.44204511625
277.92,0.00455864125842104,1365.4576455157
277.93,0.00439449712247015,1365.47206515534
277.95,0.00433948418830524,1365.4851
277.96,0.00432103052148264,1365.49659360753
277.98,0.0043148357194867,1365.50657990782
277.98,0.00431275515816712,1365.51514042379
278,0.0043120561810893,1365.52235667838
278.01,0.0446058056029346,1365.52831019448
278.03,0.0300868984296398,1365.53308249503
278.04,0.0136467072423545,1365.53675510293
278.06,0.00749434358226097,1365.53940954112
278.07,0.0102346429689711,1365.5411273325
278.09,0.00830898091384905,1365.54199
278.11,0.00572682180532076,1365.54209694663
278.124,0.00478794059145822,1365.54161909579
278.138,0.00447140207597729,1365.54074525099
278.155,0.158748139137135,1365.53966421571
278.172,0.109758975240234,1365.53856479346
278.194,0.0422239234339023,1365.53763578773
278.211,0.0368589557037199,1365.53706600202
278.233,0.0212291586372185,1365.53704423983
278.257,0.0103255028836438,1365.53775930466
278.278,0.00635476050482065,1365.5394
278.298,0.00500006650095629,1365.54212090595
278.321,0.00454316144228458,1365.545939709
278.34,0.00438948068382686,1365.55083987225
278.363,0.00433783280471676,1365.55680485878
278.384,0.004320480553859,1365.56381813168
278.404,0.00431465137829045,1365.57186315405
278.415,0.00431269320087857,1365.58092338898
278.432,0.00431203537013591,1365.59098229955
278.455,0.00431181431853333,1365.60202334886
278.483,0.00431174056748029,1365.61403
278.508,0.00431171549794714,1365.62693994957
278.52,0.00431170723515994,1365.64050782819
278.543,0.00431170430259297,1365.65444250001
278.561,0.00431170311684651,1365.66845282917
278.58,0.00431170269272685,1365.68224767981
278.599,0.00431170269272685,1365.69553591606
278.635,0.0196281272156153,1365.70802640206
278.661,0.0141092764596275,1365.71942800196
278.681,0.0078600924846595,1365.72944957989
278.712,0.00552147823089728,1365.7378
278.735,0.00471969325045506,1365.74425017579
278.765,0.00444893001142528,1365.74881921824
278.789,0.00435782102614929,1365.7515882877
278.816,0.00432719730599167,1365.75263854454
278.845,0.00431690784576314,1365.75205114909
278.877,0.00431345122292707,1365.74990726172
278.901,0.00431228987686958,1365.74628804277
278.936,0.00431189990337841,1365.7412746526
278.957,0.00431176885018614,1365.73494825156
278.986,0.00431172493878414,1365.72739
279.021,0.0286512809427149,1365.71870117729
279.051,0.0225616484760182,1365.70906353886
279.088,0.0108050822796989,1365.69867895918
279.114,0.00649729910879535,1365.68774931268
279.137,0.00504448728080582,1365.67647647382
279.164,0.00455758380889199,1365.66506231706
279.187,0.00439425762321181,1365.65370871685
279.212,0.00433942842933719,1365.64261754763
279.237,0.00432101541318084,1365.63199068386
279.261,0.0072428995755864,1365.62203
279.282,0.00650823567454534,1365.61287462506
279.306,0.00509321447845594,1365.60441270631
279.334,0.0368078113497979,1365.59646964559
279.353,0.0248070785915119,1365.58887084475
279.379,0.011607645998065,1365.58144170561
279.404,0.00679665539978909,1365.57400763003
279.429,0.00514875636456153,1365.56639401984
279.452,0.00459308626555737,1365.55842627688
279.474,0.00440624513696755,1365.54992980299
279.497,0.00434346333052738,1365.54073
279.516,0.0267079175272002,1365.53069517249
279.533,0.0186348170383615,1365.51986523591
279.554,0.00949901454323542,1365.50832300846
279.578,0.00608023998932687,1365.49615130834
279.602,0.0170434524231817,1365.48343295372
279.625,0.0122750032252704,1365.47025076281
279.646,0.00719053759417092,1365.45668755379
279.667,0.00529286773007742,1365.44282614485
279.693,0.004642565640744,1365.42874935419
279.717,0.00442298476355297,1365.41454
279.739,0.071524503961173,1365.400268935
279.749,0.0855911186256578,1365.38595915005
279.77,0.0341878666707484,1365.37162167055
279.788,0.0143928774251637,1365.3572675219
279.806,0.00769302887749386,1365.3429077295
279.825,0.00544636863050875,1365.32855331873
279.835,0.00469267525361643,1365.314215315
279.846,0.00443965200836844,1365.2999047437
279.855,0.025907480754734,1365.28563263024
279.863,0.0175103387068908,1365.27141
279.877,0.00898466771426094,1365.25726209752
279.892,0.00590571394904923,1365.24327104389
279.911,0.00484889161471364,1365.22953317933
279.915,0.00449231303829014,1365.21614484405
279.928,0.00437239019202281,1365.2032023783
279.952,0.00433209072196991,1365.19080212227
279.974,0.00431855178917328,1365.17904041621
279.987,0.00431400352542301,1365.16801360033
279.994,0.00431247565476722,1365.15781801485
279.998,0.00431196244648534,1365.14855
280.007,0.004311790189746,1365.14033198491
280.012,0.00431173212457033,1365.13339075439
280.031,0.00431171249179217,1365.12797918214
280.039,0.00431170578264544,1365.12435014188
280.046,0.00431170376895238,1365.12275650732
280.059,0.00431170291862187,1365.12345115218
280.056,0.00431170269272685,1365.12668695016
280.07,0.00431170269272685,1365.13271677498
280.073,0.00431170269272685,1365.14179350036
280.076,0.00431170269272685,1365.15417
280.086,0.217321197743419,1365.16998211282
280.097,0.139679254007525,1365.18889753855
280.109,0.0521036783301959,1365.21046694211
280.123,0.020628125218286,1365.23424098843
280.122,0.0098118651146386,1365.25977034242
280.142,0.00616111188987957,1365.28660566902
280.15,0.00493315052768015,1365.31429763316
280.161,0.00452047974939235,1365.34239689975
280.172,0.00438183655907391,1365.37045413372
280.181,0.00433526170258764,1365.39802
280.187,0.00431961625851148,1365.42470998379
280.197,0.00431436099473055,1365.4503988514
280.207,0.00431259561468029,1365.47502618941
280.204,0.00431200245099244,1365.49853158441
280.216,0.00431180329309845,1365.52085462299
280.213,0.0983310175233243,1365.54193489173
280.222,0.0644537396289608,1365.56171197721
280.228,0.0260933534552294,1365.58012546603
280.23,0.0117378548838999,1365.59711494476
280.231,0.00681613186030505,1365.61262
280.235,0.00515406286442437,1365.62664199202
280.245,0.00459479496796846,1365.63942937585
280.242,0.00440681361960825,1365.65129238024
280.243,0.00434365390569098,1365.66254123392
280.237,0.00432243585156285,1365.67348616561
280.242,0.00431530827511018,1365.68443740406
280.235,0.00431291385832656,1365.69570517799
280.243,0.00431210956407952,1365.70759971613
280.233,0.00431183949677718,1365.72043124723
280.235,0.00431174864836403,1365.73451
280.236,0.00431171813991988,1365.74999254815
280.24,0.00431170792494501,1365.76642084519
280.225,0.00431170445893449,1365.78318318962
280.211,0.0274041588570303,1365.79966787991
280.206,0.0190834301423243,1365.81526321455
280.209,0.00966158236455866,1365.82935749203
280.211,0.00613567118279339,1365.84133901083
280.21,0.00492682644234134,1365.85059606944
280.207,0.0946336617961173,1365.85651696633
280.206,0.0671363806308404,1365.85849
280.208,0.0268795075517901,1365.8560786854
280.203,0.011954016878727,1365.84954740339
280.196,0.00688083225024918,1365.83933575129
280.197,0.00517468804785077,1365.82588332644
280.196,0.00460157480457119,1365.80962972617
280.193,0.0044090715106578,1365.7910145478
280.19,0.00434441006296175,1365.77047738867
280.192,0.00432268962002209,1365.74845784611
280.171,0.00431539342562071,1365.72539551744
280.169,0.00431294261249255,1365.70173
280.157,0.00431211926617356,1365.67786643026
280.156,0.00431184260250114,1365.65407210127
280.148,0.00431174965287564,1365.63057984522
280.14,0.00431171851000098,1365.60762249432
280.126,0.00431170800969775,1365.58543288077
280.125,0.00431170445893449,1365.56424383675
280.118,0.0043117032577216,1365.54428819447
280.11,0.0043117027513287,1365.52579878612
280.101,0.00431170269272685,1365.5090084439
280.087,0.00431170269272685,1365.49415
280.08,0.00431170269272685,1365.48137644357
280.088,0.00431170269272685,1365.47052139155
280.087,0.00431170269272685,1365.46133861782
280.08,0.00431170269272685,1365.45358189626
280.065,0.00431170269272685,1365.44700500075
280.057,0.00431170269272685,1365.44136170519
280.048,0.0547537398155156,1365.43640578345
280.035,0.0397797337107287,1365.43189100941
280.025,0.0170724530697055,1365.42757115697
280.007,0.00863511791293703,1365.4232
279.993,0.00576545869927118,1365.41859929545
279.975,0.00480007555864803,1365.41386273253
279.965,0.00447575116917064,1365.4091519835
279.949,0.00436680769414507,1365.40462872064
279.926,0.00433021312438191,1365.40045461621
279.919,0.00431792040613965,1365.39679134249
279.89,0.00431379092778961,1365.39380057173
279.875,0.00431240419564322,1365.39164397622
279.85,0.00431193844778124,1365.39048322822
279.833,0.0530621508304191,1365.39048
279.827,0.0377607485261404,1365.39176485462
279.813,0.0163454965727917,1365.39434391833
279.806,0.00839588829736938,1365.39819220818
279.788,0.00568589872517681,1365.40328474118
279.78,0.00477346232404454,1365.4095965344
279.761,0.00446682611670168,1365.41710260487
279.752,0.00436381191783689,1365.42577796962
279.734,0.00972783289772962,1365.4355976457
279.726,0.00836550239208619,1365.44653665015
279.717,0.00575393929711657,1365.45857
279.7,0.00479714113234139,1365.47163433606
279.668,0.00447446046683089,1365.48551279413
279.644,0.00436631540195022,1365.4999501338
279.614,0.00433003956196024,1365.51469111462
279.588,0.0102654992093384,1365.52948049619
279.559,0.0087733430897598,1365.54406303805
279.532,0.00589912649695514,1365.55818349979
279.496,0.00484601102537889,1365.57158664099
279.466,0.00449084523229883,1365.5840172212
279.441,0.00437181289661803,1365.59522
279.42,0.0384992988657097,1365.60497506115
279.4,0.0261746048795935,1365.61320378514
279.373,0.0122296151816575,1365.61986287663
279.351,0.0356411275734893,1365.62490904032
279.331,0.0235360125124795,1365.62829898086
279.307,0.0112506674602402,1365.62998940293
279.276,0.0066759572637533,1365.6299370112
279.249,0.00510890398317941,1365.62809851036
279.223,0.00457982572648393,1365.62443060507
279.22,0.0044018093000152,1365.61889
279.206,0.00434197566067489,1365.61149234934
279.194,0.00432187265669462,1365.60248910532
279.181,0.00431511923166784,1365.59219066966
279.167,0.0327071464276775,1365.58090744411
279.144,0.0224752805252183,1365.56894983039
279.137,0.0108900001455458,1365.55662823024
279.114,0.00655448331377586,1365.54425304539
279.108,0.00506806837092961,1365.53213467758
279.097,0.00456610458454625,1365.52058352854
279.086,0.00439719952306832,1365.50991
279.071,0.00434042753045381,1365.50035714148
279.055,0.00432135270431477,1365.49189859358
279.037,0.0089815529437986,1365.48444064471
279.017,0.00781184053488865,1365.47788958324
279.017,0.00555704018085301,1365.47215169758
279.006,0.00473086860200022,1365.46713327611
278.987,0.00445224029150211,1365.46274060723
278.98,0.0437615524248303,1365.45887997932
278.974,0.0276292117750292,1365.45545768078
278.96,0.0125171547678814,1365.45238
278.942,0.00711516150212123,1365.44954588475
278.938,0.0052569420009209,1365.44682492036
278.906,0.00462956046173451,1365.44407935151
278.884,0.00441851408404244,1365.44117142292
278.88,0.00434758701389803,1365.43796337929
278.864,0.00432375737149356,1365.43431746531
278.846,0.00431575186838815,1365.43009592569
278.833,0.00431306294459796,1365.42516100513
278.832,0.00431215954085841,1365.41937494833
278.835,0.00431185618149402,1365.4126
278.84,0.00431175432935812,1365.40473370952
278.836,0.00431171986946258,1365.395814845
278.839,0.00431170820418843,1365.38591747925
278.84,0.00431170445893449,1365.37511568508
278.829,0.0043117032577216,1365.36348353528
278.821,0.0283467110294325,1365.35109510265
278.814,0.0196863574019538,1365.33802446001
278.817,0.00987994586998798,1365.32434568016
278.804,0.00621011912413342,1365.31013283588
278.789,0.00495193356242805,1365.29546
278.775,0.00452704326029343,1365.28040962719
278.76,0.00438407255771441,1365.26509769965
278.754,0.0222444500873911,1365.24964858149
278.719,0.0157754937744204,1365.23418663678
278.703,0.00846333254558092,1365.21883622961
278.692,0.00572713080929949,1365.20372172407
278.67,0.00478904711726862,1365.18896748426
278.655,0.0323952779048475,1365.17469787425
278.641,0.0222273883339174,1365.16103725813
278.627,0.0107988166622072,1365.14811
278.608,0.0333859560455538,1365.13604252173
278.593,0.0222409789786518,1365.12496947638
278.572,0.0107858924777972,1365.1150275748
278.558,0.00651776877450802,1365.10635352781
278.544,0.00505557958336833,1365.09908404629
278.522,0.00456189278004501,1365.09335584105
278.498,0.00439578276461005,1365.08930562296
278.473,0.168150189262271,1365.08707010286
278.455,0.119628486379231,1365.08678599159
278.426,0.0458003393375932,1365.08859
278.396,0.0183682713940638,1365.09256384588
278.369,0.00903824419303639,1365.09856927481
278.351,0.00589953081853489,1365.10641303933
278.313,0.00484506688295196,1365.11590189197
278.287,0.00449086402201183,1365.12684258525
278.268,0.0043718850111182,1365.13904187171
278.251,0.0043319186436535,1365.15230650389
278.232,0.00431849358147192,1365.16644323431
278.226,0.00431398406528249,1365.1812588155
278.22,0.00431246915544592,1365.19656
278.19,0.00431196009204031,1365.21215107475
278.18,0.00431178903085794,1365.22782646437
278.151,0.00431173157215788,1365.24337812788
278.137,0.00431171237389896,1365.25859802432
278.119,0.00431170578264544,1365.27327811271
278.102,0.00431170376895238,1365.28721035209
278.083,0.0157401121342665,1365.30018670148
278.051,0.0116221994345316,1365.3119991199
278.026,0.00695934808473473,1365.3224395664
278.01,0.00521438139877092,1365.3313
277.985,0.0504612054984543,1365.33844802511
277.971,0.0314506398827279,1365.34405382771
277.949,0.0138556511748225,1365.34836323914
277.925,0.00757276104291689,1365.35162209075
277.897,0.00541126577824264,1365.3540762139
277.883,0.00468146039878737,1365.35597143993
277.865,0.0119391293654559,1365.35755360021
277.845,0.0099793675715407,1365.35906852608
277.816,0.00632744409379366,1365.36076204889
277.8,0.00499016858237758,1365.36288
277.777,0.0045391809794862,1365.36562930479
277.759,0.0346674263251337,1365.3690612648
277.738,0.0237063777093331,1365.37318827557
277.713,0.026415987629507,1365.37802273269
277.693,0.0163530646907204,1365.3835770317
277.674,0.00861303604776749,1365.38986356818
277.644,0.00577447822518547,1365.39689473769
277.629,0.00480469722759228,1365.40468293578
277.611,0.00447748613033124,1365.41324055803
277.59,0.00436741363125436,1365.42258
277.561,0.0043304193607113,1365.43268445572
277.533,0.00431799018359276,1365.44342031311
277.517,0.0043138145885499,1365.45462475857
277.496,0.00431241221216196,1365.4661349785
277.485,0.004311941146224,1365.47778815929
277.48,0.00431178264587036,1365.48942148734
277.464,0.00431172941808632,1365.50087214904
277.459,0.00431171164696347,1365.51197733078
277.449,0.00431170575397665,1365.52257421897
277.444,0.00431170376895238,1365.5325
277.427,0.00431170291862187,1365.54163082234
277.401,0.00641625195535043,1365.54999868276
277.378,0.00588970570972607,1365.55767454014
277.37,0.00487316091120701,1365.5647293533
277.353,0.00450068329423579,1365.57123408113
277.348,0.0043750642360188,1365.57725968246
277.331,0.0213523591113556,1365.58287711616
277.311,0.0170800748141081,1365.58815734108
277.299,0.00885458135162282,1365.59317131608
277.277,0.00584078225134751,1365.59799
277.264,0.00482437181960518,1365.60268301493
277.258,0.00448372564432958,1365.60731463583
277.239,0.00436945959074606,1365.61194780089
277.235,0.00433110000673115,1365.61664544828
277.217,0.00431821821816475,1365.62147051619
277.206,0.0329438222157343,1365.62648594281
277.192,0.0226263613010002,1365.63175466631
277.186,0.0109447077360546,1365.63733962489
277.172,0.00657313374358894,1365.64330375673
277.158,0.00507435829820712,1365.64971
277.141,0.00456822046438441,1365.65657281794
277.137,0.00439791086452035,1365.66371277391
